fecha,indicador,valor,fuente
2022-07-22,TC_oficial_venta,137.0,argentinadatos.com
2022-07-23,TC_oficial_venta,137.0,argentinadatos.com
2022-07-24,TC_oficial_venta,137.0,argentinadatos.com
2022-07-25,TC_oficial_venta,137.0,argentinadatos.com
2022-07-26,TC_oficial_venta,137.0,argentinadatos.com
2022-07-27,TC_oficial_venta,138.0,argentinadatos.com
2022-07-28,TC_oficial_venta,138.0,argentinadatos.com
2022-07-29,TC_oficial_venta,138.0,argentinadatos.com
2022-07-30,TC_oficial_venta,138.0,argentinadatos.com
2022-07-31,TC_oficial_venta,138.0,argentinadatos.com
2022-08-01,TC_oficial_venta,139.0,argentinadatos.com
2022-08-02,TC_oficial_venta,139.0,argentinadatos.com
2022-08-03,TC_oficial_venta,139.0,argentinadatos.com
2022-08-04,TC_oficial_venta,140.0,argentinadatos.com
2022-08-05,TC_oficial_venta,140.0,argentinadatos.com
2022-08-06,TC_oficial_venta,140.0,argentinadatos.com
2022-08-07,TC_oficial_venta,140.0,argentinadatos.com
2022-08-08,TC_oficial_venta,140.0,argentinadatos.com
2022-08-09,TC_oficial_venta,141.0,argentinadatos.com
2022-08-10,TC_oficial_venta,141.0,argentinadatos.com
2022-08-11,TC_oficial_venta,141.0,argentinadatos.com
2022-08-12,TC_oficial_venta,142.0,argentinadatos.com
2022-08-13,TC_oficial_venta,142.0,argentinadatos.com
2022-08-14,TC_oficial_venta,142.0,argentinadatos.com
2022-08-15,TC_oficial_venta,142.0,argentinadatos.com
2022-08-16,TC_oficial_venta,142.0,argentinadatos.com
2022-08-17,TC_oficial_venta,143.0,argentinadatos.com
2022-08-18,TC_oficial_venta,142.0,argentinadatos.com
2022-08-19,TC_oficial_venta,143.0,argentinadatos.com
2022-08-20,TC_oficial_venta,143.0,argentinadatos.com
2022-08-21,TC_oficial_venta,143.0,argentinadatos.com
2022-08-22,TC_oficial_venta,144.0,argentinadatos.com
2022-08-23,TC_oficial_venta,144.0,argentinadatos.com
2022-08-24,TC_oficial_venta,144.0,argentinadatos.com
2022-08-25,TC_oficial_venta,145.0,argentinadatos.com
2022-08-26,TC_oficial_venta,145.0,argentinadatos.com
2022-08-27,TC_oficial_venta,145.0,argentinadatos.com
2022-08-28,TC_oficial_venta,145.0,argentinadatos.com
2022-08-29,TC_oficial_venta,145.0,argentinadatos.com
2022-08-30,TC_oficial_venta,146.0,argentinadatos.com
2022-08-31,TC_oficial_venta,146.0,argentinadatos.com
2022-09-01,TC_oficial_venta,146.0,argentinadatos.com
2022-09-02,TC_oficial_venta,146.0,argentinadatos.com
2022-09-03,TC_oficial_venta,146.0,argentinadatos.com
2022-09-04,TC_oficial_venta,146.0,argentinadatos.com
2022-09-05,TC_oficial_venta,147.0,argentinadatos.com
2022-09-06,TC_oficial_venta,147.0,argentinadatos.com
2022-09-07,TC_oficial_venta,148.0,argentinadatos.com
2022-09-08,TC_oficial_venta,148.0,argentinadatos.com
2022-09-09,TC_oficial_venta,148.0,argentinadatos.com
2022-09-10,TC_oficial_venta,148.0,argentinadatos.com
2022-09-11,TC_oficial_venta,148.0,argentinadatos.com
2022-09-12,TC_oficial_venta,149.0,argentinadatos.com
2022-09-13,TC_oficial_venta,150.0,argentinadatos.com
2022-09-14,TC_oficial_venta,150.0,argentinadatos.com
2022-09-15,TC_oficial_venta,150.0,argentinadatos.com
2022-09-16,TC_oficial_venta,150.0,argentinadatos.com
2022-09-17,TC_oficial_venta,150.0,argentinadatos.com
2022-09-18,TC_oficial_venta,150.0,argentinadatos.com
2022-09-19,TC_oficial_venta,151.0,argentinadatos.com
2022-09-20,TC_oficial_venta,151.0,argentinadatos.com
2022-09-21,TC_oficial_venta,152.0,argentinadatos.com
2022-09-22,TC_oficial_venta,152.0,argentinadatos.com
2022-09-23,TC_oficial_venta,152.0,argentinadatos.com
2022-09-24,TC_oficial_venta,152.0,argentinadatos.com
2022-09-25,TC_oficial_venta,152.0,argentinadatos.com
2022-09-26,TC_oficial_venta,153.0,argentinadatos.com
2022-09-27,TC_oficial_venta,153.0,argentinadatos.com
2022-09-28,TC_oficial_venta,154.0,argentinadatos.com
2022-09-29,TC_oficial_venta,154.0,argentinadatos.com
2022-09-30,TC_oficial_venta,154.0,argentinadatos.com
2022-10-01,TC_oficial_venta,154.0,argentinadatos.com
2022-10-02,TC_oficial_venta,154.0,argentinadatos.com
2022-10-03,TC_oficial_venta,155.0,argentinadatos.com
2022-10-04,TC_oficial_venta,156.0,argentinadatos.com
2022-10-05,TC_oficial_venta,156.0,argentinadatos.com
2022-10-06,TC_oficial_venta,156.0,argentinadatos.com
2022-10-07,TC_oficial_venta,156.0,argentinadatos.com
2022-10-08,TC_oficial_venta,156.0,argentinadatos.com
2022-10-09,TC_oficial_venta,156.0,argentinadatos.com
2022-10-10,TC_oficial_venta,156.0,argentinadatos.com
2022-10-11,TC_oficial_venta,158.0,argentinadatos.com
2022-10-12,TC_oficial_venta,158.0,argentinadatos.com
2022-10-13,TC_oficial_venta,158.0,argentinadatos.com
2022-10-14,TC_oficial_venta,158.0,argentinadatos.com
2022-10-15,TC_oficial_venta,158.0,argentinadatos.com
2022-10-16,TC_oficial_venta,158.0,argentinadatos.com
2022-10-17,TC_oficial_venta,159.0,argentinadatos.com
2022-10-18,TC_oficial_venta,160.0,argentinadatos.com
2022-10-19,TC_oficial_venta,160.0,argentinadatos.com
2022-10-20,TC_oficial_venta,160.0,argentinadatos.com
2022-10-21,TC_oficial_venta,161.0,argentinadatos.com
2022-10-22,TC_oficial_venta,161.0,argentinadatos.com
2022-10-23,TC_oficial_venta,161.0,argentinadatos.com
2022-10-24,TC_oficial_venta,162.0,argentinadatos.com
2022-10-25,TC_oficial_venta,162.0,argentinadatos.com
2022-10-26,TC_oficial_venta,162.0,argentinadatos.com
2022-10-27,TC_oficial_venta,162.0,argentinadatos.com
2022-10-28,TC_oficial_venta,163.0,argentinadatos.com
2022-10-29,TC_oficial_venta,163.0,argentinadatos.com
2022-10-30,TC_oficial_venta,163.0,argentinadatos.com
2022-10-31,TC_oficial_venta,164.0,argentinadatos.com
2022-11-01,TC_oficial_venta,164.0,argentinadatos.com
2022-11-02,TC_oficial_venta,164.0,argentinadatos.com
2022-11-03,TC_oficial_venta,165.0,argentinadatos.com
2022-11-04,TC_oficial_venta,165.0,argentinadatos.com
2022-11-05,TC_oficial_venta,165.0,argentinadatos.com
2022-11-06,TC_oficial_venta,165.0,argentinadatos.com
2022-11-07,TC_oficial_venta,166.0,argentinadatos.com
2022-11-08,TC_oficial_venta,167.0,argentinadatos.com
2022-11-09,TC_oficial_venta,167.0,argentinadatos.com
2022-11-10,TC_oficial_venta,168.0,argentinadatos.com
2022-11-11,TC_oficial_venta,168.0,argentinadatos.com
2022-11-12,TC_oficial_venta,168.0,argentinadatos.com
2022-11-13,TC_oficial_venta,168.0,argentinadatos.com
2022-11-14,TC_oficial_venta,169.0,argentinadatos.com
2022-11-15,TC_oficial_venta,169.0,argentinadatos.com
2022-11-16,TC_oficial_venta,170.0,argentinadatos.com
2022-11-17,TC_oficial_venta,170.0,argentinadatos.com
2022-11-18,TC_oficial_venta,170.0,argentinadatos.com
2022-11-19,TC_oficial_venta,170.0,argentinadatos.com
2022-11-20,TC_oficial_venta,170.0,argentinadatos.com
2022-11-21,TC_oficial_venta,170.0,argentinadatos.com
2022-11-22,TC_oficial_venta,172.0,argentinadatos.com
2022-11-23,TC_oficial_venta,172.0,argentinadatos.com
2022-11-24,TC_oficial_venta,172.0,argentinadatos.com
2022-11-25,TC_oficial_venta,172.0,argentinadatos.com
2022-11-26,TC_oficial_venta,172.0,argentinadatos.com
2022-11-27,TC_oficial_venta,172.0,argentinadatos.com
2022-11-28,TC_oficial_venta,174.0,argentinadatos.com
2022-11-29,TC_oficial_venta,174.0,argentinadatos.com
2022-11-30,TC_oficial_venta,175.0,argentinadatos.com
2022-12-01,TC_oficial_venta,175.0,argentinadatos.com
2022-12-02,TC_oficial_venta,175.0,argentinadatos.com
2022-12-03,TC_oficial_venta,175.0,argentinadatos.com
2022-12-04,TC_oficial_venta,175.0,argentinadatos.com
2022-12-05,TC_oficial_venta,176.0,argentinadatos.com
2022-12-06,TC_oficial_venta,177.0,argentinadatos.com
2022-12-07,TC_oficial_venta,177.0,argentinadatos.com
2022-12-08,TC_oficial_venta,177.0,argentinadatos.com
2022-12-09,TC_oficial_venta,177.0,argentinadatos.com
2022-12-10,TC_oficial_venta,177.0,argentinadatos.com
2022-12-11,TC_oficial_venta,177.0,argentinadatos.com
2022-12-12,TC_oficial_venta,179.0,argentinadatos.com
2022-12-13,TC_oficial_venta,179.0,argentinadatos.com
2022-12-14,TC_oficial_venta,179.0,argentinadatos.com
2022-12-15,TC_oficial_venta,179.0,argentinadatos.com
2022-12-16,TC_oficial_venta,180.0,argentinadatos.com
2022-12-17,TC_oficial_venta,180.0,argentinadatos.com
2022-12-18,TC_oficial_venta,180.0,argentinadatos.com
2022-12-19,TC_oficial_venta,181.0,argentinadatos.com
2022-12-20,TC_oficial_venta,181.0,argentinadatos.com
2022-12-21,TC_oficial_venta,181.0,argentinadatos.com
2022-12-22,TC_oficial_venta,181.0,argentinadatos.com
2022-12-23,TC_oficial_venta,182.0,argentinadatos.com
2022-12-24,TC_oficial_venta,182.0,argentinadatos.com
