ejercicio,jur_id,jur_desc,prg_id,prg_desc,monto_original,monto_vigente,monto_normalizado
2026,20,Presidencia de la Nación,16,Conduccion del Poder Ejecutivo Nacional,82125.31,79636.93,79636930104.0
2026,20,Presidencia de la Nación,16,Control Interno del Poder Ejecutivo Nacional,25213.0,24543.68,24543680000.0
2026,20,Presidencia de la Nación,16,Financiamiento para el Fomento de las Artes,4528.0,4173.2,4173200000.0
2026,20,Presidencia de la Nación,16,"Fomento, Produccion y Difusion del Teatro",6339.58,6209.91,6209908400.0
2026,20,Presidencia de la Nación,16,Informacion e Inteligencia,97135.42,97135.42,97135415305.0
2026,20,Presidencia de la Nación,16,Regulacion y Fiscalizacion de las Actividades Nucleares,25816.74,25197.99,25197987161.0
2023,20,Presidencia de la Nación,17,Abordaje Territorial,59000059.0,57000057.0,59000059.0
2023,20,Presidencia de la Nación,18,Asuntos Estrategicos,2582729303.73,3785727693.72,2582729304.0
2023,20,Presidencia de la Nación,18,Promocion del Modelo Social de la Discapacidad en Municipios,56580056.58,46580046.58,56580057.0
2023,20,Presidencia de la Nación,20,Asistencia Legal y Tecnica,2600619290.62,4458275423.27,2600619291.0
2024,20,Presidencia de la Nación,20,Asistencia Legal y Tecnica,4492.5,9941.5,9941497069.0
2025,20,Presidencia de la Nación,20,Asistencia Legal y Tecnica,9941.5,13144.0,13143997279.0
2026,20,Presidencia de la Nación,20,Asistencia Legal y Tecnica,13471.6,13196.41,13196407328.0
2023,20,Presidencia de la Nación,21,Asistencia y Coordinacion de Politicas Sociales,2279950266.95,3728715662.71,2279950267.0
2024,20,Presidencia de la Nación,22,Acciones de Prensa Institucional,0.0,4437.01,4437005420.0
2025,20,Presidencia de la Nación,22,Acciones de Prensa Institucional,4437.01,2660.89,2660890174.0
2025,20,Presidencia de la Nación,22,Promocion y Desarrollo Artistico Cultural y de las Economias Creativas,6510.78,9781.45,9781454741.0
2026,20,Presidencia de la Nación,22,Promocion y Desarrollo Artistico Cultural y de las Economias Creativas,9491.03,8110.98,8110979751.0
2023,20,Presidencia de la Nación,23,Pensiones no Contributivas por Invalidez Laborativa,381217883036.5,671900256899.58,381217883037.0
2025,20,Presidencia de la Nación,23,Gestion de Organismos Estables,9617.32,12948.37,12948372472.0
2026,20,Presidencia de la Nación,23,Gestion de Organismos Estables,28287.84,24439.84,24439842932.0
2025,20,Presidencia de la Nación,24,Gestion de Museos Nacionales,15409.96,25169.54,25169541344.0
2026,20,Presidencia de la Nación,24,Gestion de Museos Nacionales,32584.33,36839.28,36839283462.0
2025,20,Presidencia de la Nación,25,Difusion y Fortalecimiento del Patrimonio Cultural,5786.89,8071.29,8071289543.0
2026,20,Presidencia de la Nación,25,Difusion y Fortalecimiento del Patrimonio Cultural,4417.7,6457.27,6457270963.0
2025,20,Presidencia de la Nación,26,Desarrollo y Fomento de la Cultura Ciudadana y la Economia Creativa,4757.47,3473.91,3473906269.0
2025,20,Presidencia de la Nación,27,Gestion de Espacios Culturales y Proyectos Especiales,14595.93,37344.54,37344544771.0
2026,20,Presidencia de la Nación,27,Gestion de Espacios Culturales y Proyectos Especiales,28286.58,23111.73,23111730827.0
2025,20,Presidencia de la Nación,28,Fomento y Apoyo Economico a Bibliotecas Populares,4487.91,4762.55,4762546749.0
2026,20,Presidencia de la Nación,28,Fomento y Apoyo Economico a Bibliotecas Populares,6528.45,5643.85,5643850257.0
2025,20,Presidencia de la Nación,30,"Fomento, Promocion y Apoyo a la Cultura",4224.83,428.99,428987534.0
2023,20,Presidencia de la Nación,36,Atencion Medica a los Beneficiarios de Pensiones no Contributivas,116910460895.34,162221262206.1,116910460895.0
2023,20,Presidencia de la Nación,62,Prevencion y Control de Discapacidades,1590088592.09,2342152009.15,1590088592.0
2023,25,Jefatura de Gabinete de Ministros,1,Actividades Centrales,18183564080.55,29399473384.44,18183564081.0
2024,25,Jefatura de Gabinete de Ministros,1,Actividades Centrales,51227.73,123480.28,123480276042.0
2025,25,Jefatura de Gabinete de Ministros,1,Actividades Centrales,233957.35,275908.9,275908901043.0
2026,25,Jefatura de Gabinete de Ministros,1,Actividades Centrales,169631.98,160742.6,160742600577.0
2026,25,Jefatura de Gabinete de Ministros,10,Gestion del  Financiamiento Externo en Ciencia y Gestion Gubernamental,1117.05,1032.05,1032050000.0
2025,25,Jefatura de Gabinete de Ministros,11,"Actividad Comun a Programas 54, 55 y 57",1483.55,1466.63,1466627875.0
2025,25,Jefatura de Gabinete de Ministros,12,Actividades Comunes de Ambiente y Desarrollo Sostenible,12199.35,12416.0,12415995547.0
2026,25,Jefatura de Gabinete de Ministros,13,Actividades Comunes a los Programas de Turismo,7572.2,5776.2,5776201495.0
2026,25,Jefatura de Gabinete de Ministros,14,Actividades Comunes a los programas de Ambiente,12771.07,12774.45,12774452650.0
2023,25,Jefatura de Gabinete de Ministros,16,Acceso a la Informacion Publica y Proteccion de Datos Personales,740593610.59,988393858.39,740593611.0
2023,25,Jefatura de Gabinete de Ministros,16,Asistencia a la Actividad Cooperativa y Mutual,9155068988.06,13956691189.68,9155068988.0
