jur_id,jur_desc,prg_id,año,desc,monto_normalizado
80,Ministerio de Salud,20,2023,Prevencion y Control de Enfermedades Transmisibles e Inmunoprevenibles,117545568172.0
80,Ministerio de Salud,20,2024,Prevencion y Control de Enfermedades Transmisibles e Inmunoprevenibles,226916851674.0
80,Ministerio de Salud,20,2025,Prevencion y Control de Enfermedades Transmisible e Inmunoprevenibles,227523893438.0
80,Ministerio de Salud,20,2026,Prevencion y Control de Enfermedades Transmisible e Inmunoprevenibles,304037812568.0
80,Ministerio de Salud,39,2023,Desarrollo de Estrategias en Salud Comunitaria,1905632670.0
80,Ministerio de Salud,39,2024,Desarrollo de Estrategias en Salud Comunitaria,2044780750.0
80,Ministerio de Salud,39,2025,Fortalecimiento de la Estrategia de Atencion Primaria,994328440.0
80,Ministerio de Salud,39,2026,Fortalecimiento de la Estrategia de Atencion Primaria,557300671.0
80,Ministerio de Salud,47,2023,Desarrollo de Seguros Publicos de Salud (BIRF N°8853-AR/ BIRF N°9222-AR),27858639486.0
80,Ministerio de Salud,47,2024,Desarrollo de Seguros Publicos de Salud (BIRF N° 8853-AR/BIRF N° 9222-AR/BIRF N° 9547-AR),83443229240.0
80,Ministerio de Salud,47,2025,Fortalecimiento de los Sistemas Provinciales de Salud,131227890924.0
80,Ministerio de Salud,47,2026,Fortalecimiento de los Sistemas Provinciales de Salud,30988124613.0
80,Ministerio de Salud,5,2023,Actividades Comunes de Programas de Calidad en Salud,414508502.0
80,Ministerio de Salud,5,2024,Actividades Comunes de Programas de Calidad en Salud,378120605.0
80,Ministerio de Salud,5,2025,Actividades Comunes de Programas de Gestion Sanitaria,3636141956.0
80,Ministerio de Salud,5,2026,Actividades Comunes de Programas de Gestion Sanitaria,10873469483.0
80,Ministerio de Salud,52,2023,Asistencia para la Salud Mental y Consumos Problematicos  (DIS),2999189383.0
80,Ministerio de Salud,52,2024,Atencion y Acompañamiento a Personas con Consumos Problematicos,32245926680.0
80,Ministerio de Salud,52,2025,Atencion y Acompañamiento a Personas con Consumos Problematicos,55372624968.0
80,Ministerio de Salud,52,2026,Atencion y Acompañamiento a Personas con Consumos Problematicos,57599513329.0
80,Ministerio de Salud,59,2023,Atencion de Pacientes (DIS),5821014425.0
80,Ministerio de Salud,59,2024,Atencion de Pacientes,29483527121.0
80,Ministerio de Salud,59,2025,Atencion de Pacientes,37782166470.0
80,Ministerio de Salud,60,2023,Atencion a Personas con Discapacidades Psicofisicas (DIS),2281773289.0
80,Ministerio de Salud,60,2024,Atencion a Personas con Discapacidades Psicofisicas,11240829814.0
80,Ministerio de Salud,60,2025,Atencion a Personas con Discapacidades Psicofisicas,14962333318.0
80,Ministerio de Salud,99,2023,Transferencias Varias,63514377191.0
80,Ministerio de Salud,99,2024,Transferencias Varias,423730594792.0
80,Ministerio de Salud,99,2025,Transferencias Varias,516981861701.0
80,Ministerio de Salud,99,2026,Transferencias Varias y Erogaciones Figurativas,556252522650.0
88,Ministerio de Capital Humano,19,2024,Formulacion de Politicas de Igualdad y Diversidad (PPG),1470546187.0
88,Ministerio de Capital Humano,19,2025,Asignaciones Familiares,8846113558819.0
88,Ministerio de Capital Humano,19,2026,Asignaciones Familiares,10152516013276.0
88,Ministerio de Capital Humano,23,2024,Gestion de Organismos Estables,9617318583.0
88,Ministerio de Capital Humano,23,2025,Acciones de Capacitacion Laboral,31089818312.0
88,Ministerio de Capital Humano,23,2026,Acciones de Capacitacion Laboral,41908736880.0
88,Ministerio de Capital Humano,24,2024,Gestion de Museos Nacionales,15351955677.0
88,Ministerio de Capital Humano,24,2025,Economia Social,0.0
88,Ministerio de Capital Humano,27,2024,Gestion de Espacios Culturales y Proyectos Especiales,14531932017.0
88,Ministerio de Capital Humano,27,2025,Acciones de Articulacion Territorial,43716453042.0
88,Ministerio de Capital Humano,32,2024,Legitimar y Reconstruir Juventudes,2463527519.0
88,Ministerio de Capital Humano,32,2025,Informacion y Evaluacion de la Calidad Educativa,15819698308.0
88,Ministerio de Capital Humano,32,2026,Informacion y Evaluacion de la Calidad Educativa,32549610237.0
88,Ministerio de Capital Humano,33,2025,Apoyo al Desarrollo Integral de la Primera Infancia,902614239.0
88,Ministerio de Capital Humano,33,2026,"Apoyo al Desarrollo Integral de la Educacion, el Empleo  y la Proteccion Social",9972720000.0
88,Ministerio de Capital Humano,4,2024,"Actividades Comunes a los Programas 44, 45, 46, 47 y 49",9837313508.0
88,Ministerio de Capital Humano,4,2025,"Actividades Comunes a los Programas 44, 46 y 47",9294843541.0
88,Ministerio de Capital Humano,40,2024,Asistencia y Coordinacion de Politicas Sociales,4496987290.0
88,Ministerio de Capital Humano,40,2025,Plan Nacional de Alfabetizacion,381143585461.0
88,Ministerio de Capital Humano,40,2026,Plan Nacional de Alfabetizacion,559552781438.0
88,Ministerio de Capital Humano,44,2024,Mejoramiento de la Calidad Educativa,67013259012.0
88,Ministerio de Capital Humano,44,2025,Mejoramiento de la Calidad Educativa,10887874802.0
88,Ministerio de Capital Humano,44,2026,"Acciones para la Promocion y Proteccion Integral de los Derechos de Niños, Niñas y Adolescentes",31961388244.0
88,Ministerio de Capital Humano,45,2024,Politicas Federales para la Promocion de los Derechos de Niños y Adolescentes,7068894483.0
88,Ministerio de Capital Humano,45,2025,Politicas Federales para la Promocion de los Derechos de Niños y Adolescentes,5787868851.0
88,Ministerio de Capital Humano,45,2026,Acciones de Formacion Docente,9874969036.0
88,Ministerio de Capital Humano,5,2024,Actividad Comun a las acciones del Consejo Nacional de Coordinacion de Politicas Sociales,459833430.0
88,Ministerio de Capital Humano,5,2025,Actividad Comun a las acciones del Consejo Nacional de Coordinacion de Politicas Sociales,471230196.0
88,Ministerio de Capital Humano,5,2026,Actividades Comunes a las Acciones del Consejo Nacional de Coordinacion de Politicas Sociales,447384000.0
88,Ministerio de Capital Humano,8,2024,Actividad Comun a los Programas 24 y 38,4655993662.0
88,Ministerio de Capital Humano,8,2025,Actividad Comun a los Programas 26 y 38,4233754757.0
88,Ministerio de Capital Humano,9,2024,"Actividad Comun a los Programas 26, 51, 54 y 56",1558581926.0
88,Ministerio de Capital Humano,9,2025,Actividad Comun a los Programas 26 y  54,1398053747.0
88,Ministerio de Capital Humano,98,2024,Fondo Nacional de Incentivo Docente,59149679393.0
88,Ministerio de Capital Humano,98,2025,Fondo  de  Compensacion Salarial Docente,0.0
