jur_id,jur_desc,prg_id,en_2023,en_2024,en_2025,en_2026,monto_2023,monto_2024,monto_2025,monto_2026,nombre_estable,nombres_distintos,alerta,desc_2023,desc_2026
30,Ministerio del Interior,34,✓,✓,✗,✓,3083039975.0,14890867305.0,0,10511479685.0,SI,,,Iniciativas Complementarias de Interior,Iniciativas Complementarias de Interior
30,Ministerio del Interior,49,✗,✓,✗,✗,0,6891015498.0,0,0,SI,,NUEVO_POST2023,,
30,Ministerio del Interior,50,✗,✓,✗,✗,0,4028553538.0,0,0,SI,,NUEVO_POST2023,,
30,Ministerio del Interior,51,✗,✓,✗,✗,0,7149933043.0,0,0,SI,,NUEVO_POST2023,,
30,Ministerio del Interior,52,✗,✓,✗,✗,0,2780433760.0,0,0,SI,,NUEVO_POST2023,,
30,Ministerio del Interior,53,✗,✓,✗,✗,0,540878441.0,0,0,SI,,NUEVO_POST2023,,
30,Ministerio del Interior,54,✗,✓,✗,✓,0,25056114500.0,0,17959783880.0,NO,"Deporte Comunitario y Competencias | Deporte Comunitario, Infraestructura Deportiva y Predios Deportivos Nacionales",NOMBRE_CAMBIA | NUEVO_POST2023,,"Deporte Comunitario, Infraestructura Deportiva y Predios Deportivos Nacionales"
30,Ministerio del Interior,55,✗,✓,✗,✓,0,11418885757.0,0,16333031236.0,NO,Deporte Federado e Iniciacion Deportiva | Deporte Federado y Representacion Nacional,NOMBRE_CAMBIA | NUEVO_POST2023,,Deporte Federado y Representacion Nacional
30,Ministerio del Interior,57,✗,✓,✗,✓,0,776402205.0,0,40500000.0,NO,Programa Federal de Infraestrutura Deportiva | Programa Federal de Infraestructura Deportiva,NOMBRE_CAMBIA | NUEVO_POST2023,,Programa Federal de Infraestrutura Deportiva
30,Ministerio del Interior,74,✗,✓,✗,✗,0,13747778252.0,0,0,SI,,NUEVO_POST2023,,
30,Ministerio del Interior,75,✗,✓,✗,✗,0,2872689326.0,0,0,SI,,NUEVO_POST2023,,
30,Ministerio del Interior,76,✗,✓,✗,✗,0,777405943.0,0,0,SI,,NUEVO_POST2023,,
